source,target,weight,type,group
114,proxy_3,2,routing,3
39,proxy_4,3,routing,4
117,proxy_6,3,routing,6
41,proxy_8,1,routing,8
42,proxy_6,1,routing,6
41,proxy_8,1,routing,8
46,proxy_4,1,routing,4
41,proxy_8,4,routing,8
52,proxy_3,4,routing,3
41,proxy_8,6,routing,8
53,proxy_4,6,routing,4
41,proxy_8,1,routing,8
60,proxy_3,1,routing,3
41,proxy_8,1,routing,8
61,proxy_3,1,routing,3
41,proxy_8,26,routing,8
65,proxy_7,26,routing,7
41,proxy_8,1,routing,8
73,proxy_5,1,routing,5
41,proxy_8,3,routing,8
74,proxy_5,3,routing,5
41,proxy_8,1,routing,8
91,proxy_7,1,routing,7
41,proxy_8,1,routing,8
115,proxy_3,1,routing,3
42,proxy_6,3,routing,6
46,proxy_4,3,routing,4
42,proxy_6,5,routing,6
47,proxy_4,5,routing,4
42,proxy_6,22,routing,6
52,proxy_3,22,routing,3
42,proxy_6,2,routing,6
53,proxy_4,2,routing,4
42,proxy_6,10,routing,6
60,proxy_3,10,routing,3
42,proxy_6,1,routing,6
61,proxy_3,1,routing,3
42,proxy_6,4,routing,6
65,proxy_7,4,routing,7
42,proxy_6,7,routing,6
74,proxy_5,7,routing,5
42,proxy_6,2,routing,6
86,proxy_7,2,routing,7
42,proxy_6,2,routing,6
96,proxy_7,2,routing,7
42,proxy_6,1,routing,6
114,proxy_3,1,routing,3
42,proxy_6,5,routing,6
115,proxy_3,5,routing,3
46,proxy_4,2,routing,4
52,proxy_3,2,routing,3
46,proxy_4,3,routing,4
73,proxy_5,3,routing,5
46,proxy_4,1,routing,4
74,proxy_5,1,routing,5
46,proxy_4,2,routing,4
84,proxy_2,2,routing,2
46,proxy_4,1,routing,4
114,proxy_3,1,routing,3
46,proxy_4,1,routing,4
115,proxy_3,1,routing,3
46,proxy_4,17,routing,4
116,proxy_2,17,routing,2
47,proxy_4,1,routing,4
52,proxy_3,1,routing,3
47,proxy_4,1,routing,4
72,proxy_7,1,routing,7
47,proxy_4,1,routing,4
73,proxy_5,1,routing,5
47,proxy_4,2,routing,4
84,proxy_2,2,routing,2
47,proxy_4,3,routing,4
85,proxy_6,3,routing,6
47,proxy_4,1,routing,4
115,proxy_3,1,routing,3
47,proxy_4,1,routing,4
116,proxy_2,1,routing,2
52,proxy_3,12,routing,3
53,proxy_4,12,routing,4
52,proxy_3,1,routing,3
73,proxy_5,1,routing,5
52,proxy_3,2,routing,3
74,proxy_5,2,routing,5
52,proxy_3,1,routing,3
84,proxy_2,1,routing,2
52,proxy_3,21,routing,3
85,proxy_6,21,routing,6
52,proxy_3,1,routing,3
89,proxy_5,1,routing,5
52,proxy_3,2,routing,3
91,proxy_7,2,routing,7
52,proxy_3,15,routing,3
96,proxy_7,15,routing,7
52,proxy_3,4,routing,3
116,proxy_2,4,routing,2
53,proxy_4,1,routing,4
60,proxy_3,1,routing,3
53,proxy_4,6,routing,4
73,proxy_5,6,routing,5
53,proxy_4,8,routing,4
84,proxy_2,8,routing,2
53,proxy_4,1,routing,4
96,proxy_7,1,routing,7
53,proxy_4,3,routing,4
115,proxy_3,3,routing,3
60,proxy_3,5,routing,3
65,proxy_7,5,routing,7
60,proxy_3,5,routing,3
72,proxy_7,5,routing,7
60,proxy_3,6,routing,3
73,proxy_5,6,routing,5
60,proxy_3,5,routing,3
74,proxy_5,5,routing,5
60,proxy_3,7,routing,3
85,proxy_6,7,routing,6
60,proxy_3,18,routing,3
91,proxy_7,18,routing,7
60,proxy_3,2,routing,3
96,proxy_7,2,routing,7
61,proxy_3,1,routing,3
65,proxy_7,1,routing,7
61,proxy_3,2,routing,3
85,proxy_6,2,routing,6
61,proxy_3,1,routing,3
86,proxy_7,1,routing,7
65,proxy_7,1,routing,7
84,proxy_2,1,routing,2
65,proxy_7,8,routing,7
85,proxy_6,8,routing,6
65,proxy_7,1,routing,7
89,proxy_5,1,routing,5
65,proxy_7,1,routing,7
97,proxy_2,1,routing,2
65,proxy_7,4,routing,7
115,proxy_3,4,routing,3
65,proxy_7,5,routing,7
117,proxy_6,5,routing,6
72,proxy_7,3,routing,7
85,proxy_6,3,routing,6
72,proxy_7,2,routing,7
115,proxy_3,2,routing,3
72,proxy_7,2,routing,7
116,proxy_2,2,routing,2
73,proxy_5,5,routing,5
85,proxy_6,5,routing,6
73,proxy_5,1,routing,5
91,proxy_7,1,routing,7
73,proxy_5,2,routing,5
115,proxy_3,2,routing,3
73,proxy_5,2,routing,5
117,proxy_6,2,routing,6
74,proxy_5,4,routing,5
85,proxy_6,4,routing,6
74,proxy_5,1,routing,5
96,proxy_7,1,routing,7
74,proxy_5,1,routing,5
115,proxy_3,1,routing,3
74,proxy_5,1,routing,5
116,proxy_2,1,routing,2
74,proxy_5,2,routing,5
117,proxy_6,2,routing,6
84,proxy_2,2,routing,2
89,proxy_5,2,routing,5
84,proxy_2,3,routing,2
115,proxy_3,3,routing,3
84,proxy_2,1,routing,2
117,proxy_6,1,routing,6
85,proxy_6,1,routing,6
91,proxy_7,1,routing,7
85,proxy_6,1,routing,6
114,proxy_3,1,routing,3
85,proxy_6,5,routing,6
115,proxy_3,5,routing,3
85,proxy_6,1,routing,6
116,proxy_2,1,routing,2
86,proxy_7,2,routing,7
89,proxy_5,2,routing,5
89,proxy_5,2,routing,5
115,proxy_3,2,routing,3
89,proxy_5,1,routing,5
116,proxy_2,1,routing,2
89,proxy_5,1,routing,5
117,proxy_6,1,routing,6
96,proxy_7,4,routing,7
114,proxy_3,4,routing,3
97,proxy_2,2,routing,2
117,proxy_6,2,routing,6
114,proxy_3,2,routing,3
116,proxy_2,2,routing,2
115,proxy_3,4,routing,3
117,proxy_6,4,routing,6
115,proxy_3,1,routing,3
122,proxy_5,1,routing,5
proxy_0,proxy_1,19,inter-community-main,0
proxy_0,proxy_2,8,inter-community-main,0
proxy_0,proxy_3,111,inter-community-main,0
proxy_0,proxy_4,33,inter-community-main,0
proxy_0,proxy_5,12,inter-community-main,0
proxy_0,proxy_6,29,inter-community-main,0
proxy_0,proxy_7,16,inter-community-main,0
proxy_0,proxy_8,112,inter-community-main,0
proxy_1,proxy_2,36,inter-community-main,1
proxy_1,proxy_3,100,inter-community-main,1
proxy_1,proxy_4,62,inter-community-main,1
proxy_1,proxy_5,38,inter-community-main,1
proxy_1,proxy_6,81,inter-community-main,1
proxy_1,proxy_7,3,inter-community-main,1
proxy_1,proxy_8,66,inter-community-main,1
proxy_2,proxy_3,45,inter-community-main,2
proxy_2,proxy_4,58,inter-community-main,2
proxy_2,proxy_5,5,inter-community-main,2
proxy_2,proxy_6,22,inter-community-main,2
proxy_2,proxy_7,16,inter-community-main,2
proxy_3,proxy_4,132,inter-community-main,3
proxy_3,proxy_5,41,inter-community-main,3
proxy_3,proxy_6,217,inter-community-main,3
proxy_3,proxy_7,108,inter-community-main,3
proxy_3,proxy_8,25,inter-community-main,3
proxy_4,proxy_5,44,inter-community-main,4
proxy_4,proxy_6,82,inter-community-main,4
proxy_4,proxy_7,5,inter-community-main,4
proxy_4,proxy_8,41,inter-community-main,4
proxy_5,proxy_6,42,inter-community-main,5
proxy_5,proxy_7,5,inter-community-main,5
proxy_5,proxy_8,5,inter-community-main,5
proxy_6,proxy_7,70,inter-community-main,6
proxy_6,proxy_8,13,inter-community-main,6
proxy_7,proxy_8,32,inter-community-main,7
